stable_nodes_name;occurence
GNA12_GNA13_complex_M2_macrophage__cytoplasm;1
GNA12_GNA13_complex_TH1___cytoplasm;1
GNAI_GNB_GNG_complex;1
GNAI_TH1___cytoplasm;1
GNAI_TH1___cytoplasm_active;1
GNAI3_Fibroblast___Cytoplasm;1
GNAI3_M1_macrophage___Cytoplasm;1
GNAI3_M2_macrophage__cytoplasm;1
GNB_GNG_complex_M1_macrophage___Cytoplasm;1
GNB_GNG_complex_M2_macrophage__cytoplasm;1
GNB_GNG_complex_TH1___cytoplasm;1
GNB_GNG_GNAI3_complex_M1_macrophage___Cytoplasm;1
GNB_GNG_GNAI3_complex_M2_macrophage__cytoplasm;1
Grb2;1
GRB2_Fibroblast___Cytoplasm;1
GRB2_TH1___cytoplasm;1
GSK3b_APC_AXIN1_CK1A_complex;1
GSK3b_APC_AXIN1_CTNNB1_CK1A_complex;1
HBEGF;1
HBGEF_EGFR_complex;1
HBGEF_M1_macrophage___Secreted_components;1
HBGEF_M2_macrophage__secreted_components;1
HCK;1
HES1_rna;1
hes1_rna;1
HEY1_rna;1
HIF1_complex;1
Hif1a;1
Hif1b;1
HLA_B;1
HLA_B_LILRB1_complex_M1_macrophage__Cytoplasmic_membrane_up;1
HLA_B_LILRB1_complex_M2_macrophage__cytoplasmic_membrane_up;1
HLA_DP_DQ_DR_LAG3_complex;1
HLA_DP_DQ_DR_M1_macrophage__Cytoplasmic_membrane_down;1
HLA_DP_DQ_DR_M2_macrophage__cytoplasmic_membrane_down;1
HLA_DP_DQ_DR_TCR_CD3_complex;1
HLA_DRB1_rna;1
HMGB1;1
HOMODIMER_space_STAT1;1
HOMODIMER_space_STAT3;1
HRAS_M1_macrophage___Cytoplasm;1
HRAS_M2_macrophage__cytoplasm;1
HSPA5;1
ICAM1_Fibroblast__Cytoplasmic_membrane_down;1
ICAM1_ITGB2_ITGAL_complex;1
ICAM1_M1_macrophage__Cytoplasmic_membrane_down;1
ICAM1_TH1___cytoplasmic_membrane_down;1
icos;1
ICOSLG_Fibroblast__Cytoplasmic_membrane_down;1
icoslg_icos_complex;1
ICOSLG_M1_macrophage__Cytoplasmic_membrane_down;1
ICOSLG_M2_macrophage__cytoplasmic_membrane_down;1
IFNa_M1_macrophage___Extracellular_Space;1
IFNa_M1_macrophage___Secreted_components;1
IFNa_rna;1
IFNa1;1
IFNa1_B1;1
IFNA1_B1_IFNAR1_R2_complex;1
IFNAR1_IFNAR2_complex;1
IFNAR1_IFNAR2_IFNa_complex;1
IFNAR1_IFNAR2_IFNb_complex;1
IFNb_M1_macrophage___Extracellular_Space;1
IFNb_M1_macrophage___Secreted_components;1
IFNb_rna;1
IFNb1;1
IFNB1_rna;1
IFNE;1
IFNE_IFNAR1_IFNAR2_complex;1
IFNg_Fibroblast___Extracellular_Space;1
IFNG_IFNGR1_IFNGR2_complex;1
IFNG_IFNGR1_R2_complex;1
IFNg_M1_macrophage___Extracellular_Space;1
IFNg_M1_macrophage___Secreted_components;1
IFNg_rna;1
IFNg_TH1___extracellular_space;1
IFNg_TH1___secreted_components;1
IFNGR1_IFNGR2_complex_M1_macrophage__Cytoplasmic_membrane_up;1
IFNGR1_IFNGR2_complex_TH1___cytoplasmic_membrane_up;1
IFNGR1_IFNGR2_IFNg_complex;1
IFNGR1_R2_complex;1
IKBA_NFKB1_RELA_complex;1
IKBKB_phosphorylated;1
IKK_complex_Fibroblast___Cytoplasm;1
IKK_complex_M1_macrophage___Cytoplasm;1
IKK_complex_M2_macrophage__cytoplasm;1
IKK_complex_TH1___cytoplasm;1
IKK1_IKK2_complex_M1_macrophage___Cytoplasm;1
IKK1_IKK2_complex_M2_macrophage__cytoplasm;1
IKK1_phosphorylated_M1_macrophage___Cytoplasm;1
IKK1_phosphorylated_M2_macrophage__cytoplasm;1
IKK2_phosphorylated_M1_macrophage___Cytoplasm;1
IKK2_phosphorylated_M2_macrophage__cytoplasm;1
IL1_IL1R_complex;1
IL10_Fibroblast___Extracellular_Space;1
IL10_IL10RA_IL10RB_complex;1
IL10_M2_macrophage__extracellular_space;1
IL10_M2_macrophage__secreted_components;1
IL10_rna;1
IL10_TH1___extracellular_space;1
IL10R1_IL10R2_complex;1
