Names;Target_nodes
TGFB1;TGFb1,TGFB1_Fibroblast___Extracellular_Space,TGFB1_Fibroblast___Extracellular_Space_active,TGFB1_M2_macrophage__extracellular_space,TGFB1_TGFBR1_complex,TGFBR1_TGFBR2_TGFB1_complex
LRP5;FZD1_LRP5_complex,FZD5_LRP5_wnt5a_complex,WNT5B_FZD1_LRP5_complex
NOTCH1;JAG1_NOTCH1_complex,NOTCH1,notch1_JAG1_complex
LIFR;LIFR_IL6ST_CTF1_complex
CSF2RB;CSF2RA_CSF2RB_complex_Fibroblast__Cytoplasmic_membrane_up,CSF2RA_CSF2RB_complex_M1_macrophage__Cytoplasmic_membrane_up,CSF2RA_CSF2RB_CSF2_complex
CTNNB1;CTNNB1_Fibroblast___nucleus,CTNNB1_M2_macrophage_nucleus,CTNNB1_TCF_LEF_complex,GSK3b_APC_AXIN1_CTNNB1_CK1A_complex
SEMA4D;SEMA4D_M2_macrophage__extracellular_space,SEMA4D_TH1___extracellular_space
ICOS;icos,icoslg_icos_complex
IL1R1;IL1_IL1R_complex,IL1A_IL1R1_complex,IL1B_IL1R1_complex,IL1R1,IL1A_IL1R1_complex,IL1B_IL1R1_complex,IL1R1
IL4;IL4,IL4_IL4Ra_complex,IL4_rna
ITGA1;CD40LG_ITGB1_ITGA1_complex_M1_macrophage__Cytoplasmic_membrane_up,CD40LG_ITGB1_ITGA1_complex_M2_macrophage__cytoplasmic_membrane_up,ITGB1_ITGA1_col4a_complex_M1_macrophage__Cytoplasmic_membrane_up,ITGB1_ITGA1_col4a_complex_M2_macrophage__cytoplasmic_membrane_up,ITGB1_ITGA1_complex_M1_macrophage__Cytoplasmic_membrane_up,ITGB1_ITGA1_complex_M2_macrophage__cytoplasmic_membrane_up
TNFRSF4;TNFSF4_TNFRSF4_complex
ICOSLG;ICOSLG_Fibroblast__Cytoplasmic_membrane_down,icoslg_icos_complex,ICOSLG_M1_macrophage__Cytoplasmic_membrane_down,ICOSLG_M2_macrophage__cytoplasmic_membrane_down
GAS6;GAS6_Fibroblast___secreted_components,GAS6_M2_macrophage__extracellular_space,GAS6_MERTK_complex,gas6_mertk_complex,GAS6_TH1___extracellular_space
VEGFC;vegfc,Vegfc_M2_macrophage__extracellular_space,vegfc_vegfr3_complex,VegfR2_vegfc_complex
BMP6;bmp6
NFKBIA;NFKBIA_phosphorylated_Fibroblast___Cytoplasm,NFKBIA_phosphorylated_M1_macrophage___Cytoplasm,NFKBIA_phosphorylated_M2_macrophage__cytoplasm,NFKBIA_phosphorylated_TH1___cytoplasm,NFKBIA_rna
BAX;BAX_Fibroblast___Mitochondrion,BAX_Fibroblast___Mitochondrion_active,BAX_M1_macrophage__Mitochondria_membrane,BAX_M2_macrophage_mitochondrion_membrane
IFNAR2;IFNAR1_IFNAR2_complex
SMAD7;SMAD7_Fibroblast___Cytoplasm,SMAD7_M1_macrophage___Cytoplasm,SMAD7_M2_macrophage__cytoplasm
ACVR2A;ACVR2A_ACVR2B_complex
IL18;IL18_Fibroblast___Extracellular_Space,IL18_IL18R_complex,IL18_IL18R1_complex,IL18_IL18R1_IL18RAP_complex,IL18_M1_macrophage___Extracellular_Space,IL18_TH1___extracellular_space
FN1;FN1_Fibroblast___Extracellular_Space,FN1_ITGAV_complex,FN1_M2_macrophage__secreted_components
IL17RA;IL17A_IL17RA_complex
IL17RC;IL17Ra_IL17Rc_IL17F_complex
CAV1;CAV1_rna
TBX21;tbx21,tbx21_phosphorylated
CREB1;CREB1_phosphorylated_Fibroblast___nucleus,CREB1_phosphorylated_M2_macrophage_nucleus,CREB1_phosphorylated_TH1___nucleus
THBS1;THBS1_rna
MIR221;MIR221_rna
